A	B	C	D	E11	E22	G12	G23	Mass	Load
41.85684	10.01604	12.10995	32.1825	152.16191	8.370297	4.899552	2.836283	0.901593	51.379
33.34932	12.31212	17.136	32.8701	121.90995	8.175492	4.351248	2.670402	0.892748	43.567
42.174	11.38104	18.1413	27.4737	145.7276	8.618643	5.28048	2.810181	0.911687	62.374
30.7782	14.00508	15.20505	23.9556	144.13883	8.793927	4.374336	2.867965	0.842498	45.833
37.60308	14.24844	11.7132	29.7753	132.52399	7.498575	5.257392	3.020795	0.878926	46.442
40.93596	9.43404	15.9324	29.1933	158.67962	8.545581	4.942848	2.94996	0.901068	55.695
31.66704	10.83084	18.2868	34.3779	145.811	8.039088	5.133312	3.438272	0.894494	50.296
34.74612	10.28052	17.00385	36.4413	125.0027	7.722621	5.191008	3.164294	0.909824	45.195
40.8726	12.85176	15.7209	26.6538	154.91967	6.943401	5.064048	3.458763	0.895285	60.04
29.15928	11.2434	14.2395	34.4043	118.3168	7.893045	5.101584	2.955571	0.867346	35.621
33.92064	12.6402	11.80575	36.4149	139.96049	8.000208	5.303568	3.10279	0.887182	42.517
32.8734	10.5768	12.8772	35.6742	127.84386	7.581357	5.384352	3.41403	0.881616	38.495
39.06324	9.40236	14.17335	35.8593	141.29767	8.90109	4.706208	3.10651	0.912768	48.943
38.20608	10.88364	17.50635	32.0235	155.16987	9.042273	4.400304	2.763588	0.909491	55.21
40.6188	13.12692	17.6652	33.0024	139.62689	7.006743	4.538832	3.451323	0.927577	60.248
42.80904	14.16384	15.36375	29.0346	153.1641	8.51634	5.369952	2.840003	0.913489	65.429
