A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
30.0887	9.64203	16.46977	34.1652	0.878471925	42.64205867	37.10054718	1.847184667
30.0901	12.5472	16.4518	25.9553	0.849857564	44.87936665	39.07071101	1.936233398
30.0915	14.27683	13.58865	28.1087	0.849240437	43.00119963	37.17235546	1.942962959
30.093	11.6744	16.77519	23.8536	0.841730694	43.81871934	38.07006378	1.916233215
30.0944	14.10576	12.89637	30.7247	0.855824365	42.69672853	36.99185041	1.901640627
30.0959	9.50039	12.45262	33.8355	0.859433578	39.71143985	34.67862072	1.677619246
30.0973	10.73777	15.74754	25.9171	0.84330235	41.65271972	36.10693581	1.848608815
30.0988	13.04993	17.43513	33.1304	0.883332717	49.24608353	43.27356518	1.990854717
30.1002	11.33775	13.40361	30.6263	0.853354599	41.13680129	35.87112905	1.755237544
30.1017	10.57368	15.03011	27.0997	0.844696878	41.23485584	35.80746779	1.809143227
30.1031	12.51378	13.01435	29.5816	0.849370071	41.50220105	36.10737635	1.798288691
30.1046	10.69737	14.44443	32.2296	0.863278325	41.68232007	36.22641959	1.818647439
30.106	14.34266	14.24021	32.5508	0.868983998	44.57577248	38.68956183	1.962085266
30.1075	14.31423	16.83687	29.098	0.867190414	49.62435707	43.62691426	1.999162934
30.1089	12.45393	12.0436	34.1972	0.863457662	41.48689181	36.24892457	1.746002471
30.1104	13.46288	16.0338	33.2374	0.877887869	46.66405552	40.83893638	1.94172127
30.1118	11.61705	12.57299	35.7563	0.870499985	41.53520953	36.35860736	1.725547291
30.1133	13.77809	14.48694	30.6792	0.862405687	43.99969401	38.0997428	1.966665488
30.1147	10.58515	12.53227	24.9254	0.826082092	39.20945675	34.17551742	1.677992644
30.1162	13.9721	15.41697	25.0693	0.845079058	45.10655502	39.06663199	2.013323117
30.1176	10.04103	15.51579	27.9352	0.849351338	41.30861746	35.89592677	1.80424407
30.119	12.9018	15.69305	32.3687	0.872363008	45.04488983	39.1889251	1.952003212
30.1205	10.98614	16.71949	26.6284	0.851149927	42.98966843	37.30190536	1.895935564
30.1219	9.86298	15.6128	29.9175	0.857733882	41.62892811	36.1642446	1.821575141
30.1234	9.9707	17.69264	23.8991	0.843026338	43.5200537	37.91640078	1.86789863
